vocabulary,varient_of,pronounication,meaning,language,ethnicity,nationality,religion,gender,sexual_orientation,disability,class,archaic,offensiveness,num_revision,num_variants,variants,num_citing,last_citing,num_citations
mil bag,spide,{},"In Northern Ireland, a spide is a young working class male. A female is known as a millie.",eng,0,0,0,0,0,0,1,0,0,1,0,{},7,4/20/17 14:50,1
millie,spide,{},"In Northern Ireland, a spide is a young working class male. A female is known as a millie.",eng,0,0,0,0,0,0,1,0,0,1,0,{},51,11/7/16 19:48,1
moch,mocky,{},A Jewish person (first used in the 1930s).,eng,1,0,0,0,0,0,0,0,0,0,0,{},0,{},0
mock,mocky,{},A Jewish person (first used in the 1930s).,eng,1,0,0,0,0,0,0,0,0,0,0,{},0,{},0
mockey,mocky,{},A Jewish person (first used in the 1930s).,eng,1,0,0,0,0,0,0,0,0,0,0,{},121,4/5/17 11:44,0
mockie,mocky,{},A Jewish person (first used in the 1930s).,eng,1,0,0,0,0,0,0,0,0,0,0,{},19,4/29/17 20:22,0
mocky,{},{},A Jewish person (first used in the 1930s).,eng,1,0,0,0,0,0,0,0,0,0,6,moch; mock; moky; moxy; mockey; mockie,23,8/11/16 12:14,0
moke,{},{},"[1] In Hawaii, an uneducated, lower class and/or ethnic Polynesian person. [2] In Ireland, a disreputable or lower class person.",eng,1,0,0,0,0,0,1,0,0,1,0,{},58,4/21/17 16:45,1
moky,mocky,{},A Jewish person (first used in the 1930s).,eng,1,0,0,0,0,0,0,0,0,0,0,{},27,11/16/16 18:24,0
mong,{},{},"A disabled person, from 'mongoloid'.",eng,0,0,0,0,0,1,0,0,0,0,0,{},0,{},0
monkey,{},{},A black person.,eng,1,0,0,0,0,0,0,0,0.81,0,0,{},0,{},0
mook,{},{},"Generic term for a loser or ineffectual person, likely from 'mook jonk', a wooden dummy used in kung-fu.",eng,0,0,0,0,0,0,0,0,0,0,0,{},58,4/4/17 23:06,0
moon cricket,{},{},A black person,eng,1,0,0,0,0,0,0,0,0,1,0,{},2430,5/7/17 23:53,0
Moor,{},{},"A black person, from the black Muslims which invaded Europe during the Middle Ages.",eng,1,0,0,0,0,0,0,0,0,0,0,{},0,{},0
moss eater,{},{},Pacific Northwest term for poor or disenfrancised white people.,eng,1,0,0,0,0,0,0,0,0,0,0,{},1,7/19/16 22:55,0
mosshead,{},{},A black person.,eng,1,0,0,0,0,0,0,0,0,0,0,{},21,4/3/17 11:16,0
moulie,{},{},"A black person, used by Italians in US. It is a corruption of melanzane, the Italian word for eggplant.",eng,1,0,0,0,0,0,0,0,0.24,0,3,mulignan; moulignon; moulinyan,292,5/5/17 11:11,0
moulignon,moulie,{},"A black person, used by Italians in US. It is a corruption of melanzane, the Italian word for eggplant.",eng,1,0,0,0,0,0,0,0,0,0,0,{},81,3/30/17 11:25,0
moulinyan,moulie,{},"A black person, used by Italians in US. It is a corruption of melanzane, the Italian word for eggplant.",eng,1,0,0,0,0,0,0,0,0.36,0,0,{},120,4/21/17 11:09,0
moxy,mocky,{},A Jewish person (first used in the 1930s).,eng,1,0,0,0,0,0,0,0,0,0,0,{},0,{},0
MTN,{},{},"A Dinka or of South Sudan ancestry, from the telecommunications network which is ubiquitous in Africa",eng,1,0,0,0,0,0,0,0,0,1,0,{},0,{},0
mud duck,mud person,{},White supremacist term for a black person.,eng,1,0,0,0,0,0,0,0,0,0,0,{},1972,5/15/17 15:53,0
mud person,{},{},White supremacist term for a black person.,eng,1,0,0,0,0,0,0,0,0,0,1,mud duck,98,5/3/17 0:15,0
mud shark,{},{},A Caucasian woman who dates a black man.,eng,1,0,0,0,0,0,0,0,0,0,0,{},1414,5/16/17 3:44,0
muk,{},{},[1] An Alaskan. [2] An Inuit.,eng,1,0,0,0,0,0,0,0,0,0,1,muktuk,62,5/13/17 16:05,0
muktuk,muk,{},[1] An Alaskan. [2] An Inuit.,eng,1,0,0,0,0,0,0,0,0,0,0,{},0,{},0
mulato,{},{},Born of a Caucasian parent and a black parent.,eng,1,0,0,0,0,0,0,0,0.24,0,0,{},155,5/16/17 3:57,0
mulignan,moulie,{},"A black person, used by Italians in US. It is a corruption of melanzane, the Italian word for eggplant.",eng,1,0,0,0,0,0,0,0,0.51,0,0,{},239,5/9/17 8:39,0
mung,{},{},"Pronunciation of 'hmong', the Vietnamese people which were relocated to the United States during and after the Vietnam War.",eng,1,1,0,0,0,0,0,0,0,0,0,{},0,{},0
munt,munter,{},"Among whites in South Africa, Zimbabwe, and Zambia, denotes a black person. Derives from muntu, the singular Bantu word for 'person'. In the UK, the word means 'ugly person', especially 'ugly woman'.",eng,1,0,0,0,0,0,0,0,0,0,0,{},0,{},0
munter,{},{},"Among whites in South Africa, Zimbabwe, and Zambia, denotes a black person. Derives from muntu, the singular Bantu word for 'person'. In the UK, the word means 'ugly person', especially 'ugly woman'.",eng,1,0,0,0,0,0,0,0,0,0,1,munt,1174,5/16/17 2:01,0
mutt,{},{},A person of mixed heritage.,eng,1,0,0,0,0,0,0,0,0,0,0,{},1,4/24/13 18:43,0
muzzie,{},{},A Muslim.,eng,0,0,1,0,0,0,0,0,0.47,0,0,{},4639,5/15/17 12:18,0
nacho,{},{},A person of Hispanic descent.,eng,1,0,0,0,0,0,0,0,0,0,0,{},0,{},0
neche,nitchie,{},A North American Indian (from the Algonquian word for 'friend').,eng,1,0,0,0,0,0,0,0,0,0,0,{},0,{},0
ned,{},{},"In Scotland, a lower class person or criminal, often identified with public housing and a predilection for sportswear",eng,0,0,0,0,0,0,1,0,0,1,0,{},1,5/23/15 12:05,1
neechee,nitchie,{},A North American Indian (from the Algonquian word for 'friend').,eng,1,0,0,0,0,0,0,0,0,0,0,{},0,{},0
neejee,nitchie,{},A North American Indian (from the Algonquian word for 'friend').,eng,1,0,0,0,0,0,0,0,0,0,0,{},0,{},0
net head,{},{},"Chicano slur for Mexicans used in Los Angeles, from use of hairnets.",eng,1,0,0,0,0,0,0,0,0,0,0,{},0,{},0
newfie,{},{},"A person from Newfoundland, often used to denote lack of intelligence.",eng,0,0,0,0,0,0,0,0,0,0,0,{},1864,5/15/17 13:35,0
nicca,nigger,{},A degenerate black person.,eng,1,0,0,0,0,0,0,0,1,1,0,{},3522,5/14/17 16:52,0
nichi,nitchie,{},A North American Indian (from the Algonquian word for 'friend').,eng,1,0,0,0,0,0,0,0,0,0,0,{},0,{},0
nichiwa,nitchie,{},A North American Indian (from the Algonquian word for 'friend').,eng,1,0,0,0,0,0,0,0,0,0,0,{},0,{},0
nidge,nitchie,{},A North American Indian (from the Algonquian word for 'friend').,eng,1,0,0,0,0,0,0,0,0,0,0,{},0,{},0
nig,nigger,{},A degenerate black person.,eng,1,0,0,0,0,0,0,0,0.5,0,0,{},1266,5/15/17 13:39,0
nig nog,nigger,{},A degenerate black person.,eng,1,0,0,0,0,0,0,0,1,0,0,{},3642,5/15/17 11:26,0
nigar,nigger,{},A degenerate black person.,eng,1,0,0,0,0,0,0,0,1,0,0,{},78,4/17/17 9:52,0
niger,nigger,{},A degenerate black person.,eng,1,0,0,0,0,0,0,0,1,0,0,{},64,5/4/17 7:25,0
nigette,nigger,{},A degenerate black person.,eng,1,0,0,0,0,0,0,0,0.5,0,0,{},248,4/26/17 2:39,0
nigga,nigger,{},A degenerate black person.,eng,1,0,0,0,0,0,0,0,0.68,0,0,{},4122,5/15/17 13:09,0
niggah,nigger,{},A degenerate black person.,eng,1,0,0,0,0,0,0,0,1,0,0,{},3209,5/15/17 12:16,0
niggar,nigger,{},A degenerate black person.,eng,1,0,0,0,0,0,0,0,1,0,0,{},3367,5/15/17 11:53,0
nigger,{},Ã‹ÂˆneÃ‰Â¡ÃŒÂ_Ã_ÂŒ,A degenerate black person.,eng,1,0,0,0,0,0,0,0,0.44,0,17,nig; nicca; nigar; niger; nigga; nigor; nigra; nigre; niggah; niggar; niggor; nigguh; niggur; nig nog; nigette; niggress; spice nigger,4568,10/29/17 16:56,0
nigglet,niglet,{},A black child.,eng,1,0,0,0,0,0,0,0,0,0,0,{},3401,5/15/17 8:34,0
niggor,nigger,{},A degenerate black person.,eng,1,0,0,0,0,0,0,0,0.5,0,0,{},282,5/11/17 13:45,0
niggress,nigger,{},A degenerate black person.,eng,1,0,0,0,0,0,0,0,1,0,0,{},1474,5/13/17 14:52,0
nigguh,nigger,{},A degenerate black person.,eng,1,0,0,0,0,0,0,0,0.67,0,0,{},3175,5/15/17 11:08,0
niggur,nigger,{},A degenerate black person.,eng,1,0,0,0,0,0,0,0,0.5,0,0,{},4836,5/15/17 6:47,0
niglet,{},{},A black child.,eng,1,0,0,0,0,0,0,0,0.85,0,1,nigglet,2973,5/9/17 16:07,0
nigor,nigger,{},A degenerate black person.,eng,1,0,0,0,0,0,0,0,1,0,0,{},77,5/6/17 21:20,0
nigra,nigger,{},A degenerate black person.,eng,1,0,0,0,0,0,0,0,1,0,0,{},196,4/22/17 13:00,0
nigre,nigger,{},A degenerate black person.,eng,1,0,0,0,0,0,0,0,1,0,0,{},77,5/1/17 13:10,0
nip,{},{},"A person of Japanese descent (shortened version of Nipponese, from Japanese name for Japan, Nippon).",eng,0,1,0,0,0,0,0,0,0,0,0,{},0,{},0
nitchee,nitchie,{},A North American Indian (from the Algonquian word for 'friend').,eng,1,0,0,0,0,0,0,0,0,0,0,{},1,1/10/14 14:52,0
nitchie,{},{},A North American Indian (from the Algonquian word for 'friend').,eng,1,0,0,0,0,0,0,0,0,0,8,neche; nichi; nidge; neejee; nitchy; neechee; nichiwa; nitchee,0,{},0
nitchy,nitchie,{},A North American Indian (from the Algonquian word for 'friend').,eng,1,0,0,0,0,0,0,0,0,0,0,{},0,{},0
Northern monkey,{},{},"Used in the south of England, relating to the supposed stupidity and lack of sophistication of those in the north of the country. In some cases this has been adopted in the north of England, with a pub in Leeds even taking the name 'The Northern Monkey'.",eng,0,0,0,0,0,0,0,0,0,0,0,{},375,4/27/17 10:01,0
ocker,{},{},An uncultivated Australian.,eng,0,1,0,0,0,0,0,0,0,0,0,{},509,4/28/17 0:27,0
octaroon,octroon,{},A person who is 1/8th Black. Originated by the Spanish in the 14th/15th century as they were very exact in their racial classifications to determine a person's worth in society.,eng,1,0,0,0,0,0,0,0,0,0,0,{},420,5/8/17 11:21,0
octroon,{},{},A person who is 1/8th Black. Originated by the Spanish in the 14th/15th century as they were very exact in their racial classifications to determine a person's worth in society.,eng,1,0,0,0,0,0,0,0,0.29,0,1,octaroon,6,12/31/16 6:08,0
ofay,{},{},"A white person, from Pig Latin for 'foe.'",eng,1,0,0,0,0,0,0,0,0,0,0,{},809,5/11/17 17:39,0
Orangie,{},{},"A pro-British Ulster Protestant, referring to supporters of the Orange Order.",eng,0,0,1,0,0,0,0,0,0,0,0,{},0,{},0
Oreo,{},{},"A person who is black on the outside and white on the inside, as with an Oreo cookie.",eng,1,0,0,0,0,0,0,0,0,0,0,{},0,{},0
Oriental,{},{},An Asian person,eng,1,0,0,0,0,0,0,0,0,0,0,{},236,5/9/17 12:37,0
oven dodger,{},/Ã‹ÂˆÃ_ÂŒvÃ‰Â™n/ /Ã‹ÂˆdÃ‰Â’dÃ_Â’Ã‰Â™(Ã‰Â_)/,"A Jew, alluding to one who escaped cremation during Holocaust.",eng,1,0,1,0,0,0,0,0,0.34,1,0,{},200,5/9/17 20:13,1
paddy,{},{},"A person of Irish descent, derived from a nickname for Padraig.",eng,1,1,0,0,0,0,0,0,0,1,0,{},207,4/22/17 15:21,0
paki,{},{},"A person from South Asia or the Middle East, particularly a person from Pakistan.",eng,1,1,0,0,0,0,0,0,0.7,0,0,{},396,5/15/17 1:31,0
paleface,{},{},Historical Native American term for Caucasian.,eng,1,0,0,0,0,0,0,1,0.13,0,0,{},308,5/14/17 16:19,0
pancake,{},{},An Asian person.,eng,1,0,0,0,0,0,0,0,1,0,1,pancake face,0,{},0
pancake face,pancake,{},An Asian person.,eng,1,0,0,0,0,0,0,0,0,0,0,{},4,6/24/13 22:48,0
papist,{},{},"A Roman Catholic person, usually Irish Catholic.",eng,0,0,1,0,0,0,0,0,0.37,0,0,{},574,5/14/17 22:55,0
papoose,{},{},A Native American child.,eng,1,0,0,0,0,0,0,0,0,0,0,{},0,{},0
peckerwood,{},{},Used by southern African-Americans and upper class whites to denote poor rural whites. It is still used mostly by African-Americans in reference to white people.,eng,1,0,0,0,0,0,0,0,0.48,0,0,{},4414,5/14/17 13:09,0
Pepper,{},{},"A French Canadian or Quebecois, derived from the Anglo-Canadian jibe that their stereotypically bad dental hygiene was due to drinking Pepsi or Dr Pepper for breakfast.",eng,1,1,0,0,0,0,0,0,0,0,1,Pepsi,0,{},0
Pepsi,Pepper,{},"A French Canadian or Quebecois, derived from the Anglo-Canadian jibe that their stereotypically bad dental hygiene was due to drinking Pepsi or Dr Pepper for breakfast.",eng,1,1,0,0,0,0,0,0,0,0,0,{},0,{},0
pickaninny,{},{},Black children.,eng,1,0,0,0,0,0,0,0,0,0,0,{},982,5/10/17 9:05,1
piker,pikey,{},Derived from 'turnpike'. [1] An Irish person. [2] A gypsy. [3] An itinerant or vagrant lower-class or poor person.,eng,1,1,0,0,0,0,0,0,0,0,0,{},511,5/14/17 4:34,0
pikey,{},{},Derived from 'turnpike'. [1] An Irish person. [2] A gypsy. [3] An itinerant or vagrant lower-class or poor person.,eng,1,1,0,0,0,0,0,0,0.52,0,2,piky; piker,3689,5/14/17 21:38,0
piky,pikey,{},Derived from 'turnpike'. [1] An Irish person. [2] A gypsy. [3] An itinerant or vagrant lower-class or poor person.,eng,1,1,0,0,0,0,0,0,0,0,0,{},0,{},0
pineapple nigger,{},{},A person of Hawaiian descent.,eng,1,0,0,0,0,0,0,0,0.37,0,0,{},16,4/26/17 10:44,0
ping pang,{},{},A person of Asian descent.,eng,1,0,0,0,0,0,0,0,0,0,0,{},62,4/27/17 8:15,0
pinto,{},{},One who has both a Caucasian parent and a Native American parent.,eng,1,0,0,0,0,0,0,0,0,0,0,{},0,{},0
plastic paddy,{},{},A non-Irish person who claims to be Irish.,eng,1,1,0,0,0,0,0,0,0.22,1,0,{},2138,5/14/17 10:51,0
pogue,{},{},A person of Irish descent.,eng,1,1,0,0,0,0,0,0,0,0,0,{},48,5/9/17 13:08,0
pohm,pom,{},"A British (usually English) immigrant. Some claim it derives from 'Prisoner of Mother England' or 'Prisoner of Her Majesty', but it probably derives from pomegranate, rhyming slang for 'immigrant'. It is often used irreverently and is usually considered offensive. Many such migrants to Australia, such as Prime Minister Julia Gillard, call themselves 'ten pound poms', because they paid ten pounds for their passage to Australia between 1945 and 1972 under an assisted migration scheme. Often combined with an adjective, particularly whingeing pom, a reference to migrants who complained about their adopted country. Often used in a sporting (especially cricket and rugby) context, with liberal use of 'pom' and 'Aussie' being used by the media; the term is often seen as unoffensive in this context, and instead as light-hearted banter by those who use it, but still possibly as offensive by those whom it is directed at.",eng,0,1,0,0,0,0,0,0,0,0,0,{},12,4/15/17 7:27,0
pointy head,{},{},A person of Asian descent.,eng,1,0,0,0,0,0,0,0,0,0,0,{},0,{},0
polack,{},{},"A Pole or a person of Polish or Slavic origin, from the Polish endonym, Polak (see Name of Poland).",eng,0,1,0,0,0,0,0,0,0,0,0,{},490,5/14/17 15:35,0
pollo,{},{},"[1] A person of Hispanic descent, from the Spanish word for 'chicken'. [2] An illegal alien, particularly one of Hispanic descent.",eng,1,0,0,0,0,0,0,0,0,0,0,{},0,{},0
pom,{},{},"A British (usually English) immigrant. Some claim it derives from 'Prisoner of Mother England' or 'Prisoner of Her Majesty', but it probably derives from pomegranate, rhyming slang for 'immigrant'. It is often used irreverently and is usually considered offensive. Many such migrants to Australia, such as Prime Minister Julia Gillard, call themselves 'ten pound poms', because they paid ten pounds for their passage to Australia between 1945 and 1972 under an assisted migration scheme. Often combined with an adjective, particularly whingeing pom, a reference to migrants who complained about their adopted country. Often used in a sporting (especially cricket and rugby) context, with liberal use of 'pom' and 'Aussie' being used by the media; the term is often seen as unoffensive in this context, and instead as light-hearted banter by those who use it, but still possibly as offensive by those whom it is directed at.",eng,0,1,0,0,0,0,0,0,0,0,4,pohm; pommy; pommie; pommie grant,0,{},0
pommie,pom,{},"A British (usually English) immigrant. Some claim it derives from 'Prisoner of Mother England' or 'Prisoner of Her Majesty', but it probably derives from pomegranate, rhyming slang for 'immigrant'. It is often used irreverently and is usually considered offensive. Many such migrants to Australia, such as Prime Minister Julia Gillard, call themselves 'ten pound poms', because they paid ten pounds for their passage to Australia between 1945 and 1972 under an assisted migration scheme. Often combined with an adjective, particularly whingeing pom, a reference to migrants who complained about their adopted country. Often used in a sporting (especially cricket and rugby) context, with liberal use of 'pom' and 'Aussie' being used by the media; the term is often seen as unoffensive in this context, and instead as light-hearted banter by those who use it, but still possibly as offensive by those whom it is directed at.",eng,0,1,0,0,0,0,0,0,0,0,0,{},776,5/15/17 5:06,0
pommie grant,pom,{},"A British (usually English) immigrant. Some claim it derives from 'Prisoner of Mother England' or 'Prisoner of Her Majesty', but it probably derives from pomegranate, rhyming slang for 'immigrant'. It is often used irreverently and is usually considered offensive. Many such migrants to Australia, such as Prime Minister Julia Gillard, call themselves 'ten pound poms', because they paid ten pounds for their passage to Australia between 1945 and 1972 under an assisted migration scheme. Often combined with an adjective, particularly whingeing pom, a reference to migrants who complained about their adopted country. Often used in a sporting (especially cricket and rugby) context, with liberal use of 'pom' and 'Aussie' being used by the media; the term is often seen as unoffensive in this context, and instead as light-hearted banter by those who use it, but still possibly as offensive by those whom it is directed at.",eng,0,1,0,0,0,0,0,0,0,0,0,{},0,{},0
pommy,pom,{},"A British (usually English) immigrant. Some claim it derives from 'Prisoner of Mother England' or 'Prisoner of Her Majesty', but it probably derives from pomegranate, rhyming slang for 'immigrant'. It is often used irreverently and is usually considered offensive. Many such migrants to Australia, such as Prime Minister Julia Gillard, call themselves 'ten pound poms', because they paid ten pounds for their passage to Australia between 1945 and 1972 under an assisted migration scheme. Often combined with an adjective, particularly whingeing pom, a reference to migrants who complained about their adopted country. Often used in a sporting (especially cricket and rugby) context, with liberal use of 'pom' and 'Aussie' being used by the media; the term is often seen as unoffensive in this context, and instead as light-hearted banter by those who use it, but still possibly as offensive by those whom it is directed at.",eng,0,1,0,0,0,0,0,0,0,0,0,{},885,5/14/17 18:37,0
popolo,{},{},Used in Hawaii to denote a black person.,eng,1,0,0,0,0,0,0,0,0,0,0,{},433,5/15/17 4:56,0
poppadom,{},{},Used as a derogatory term directed towards South Asians (and sometimes Middle Eastern people).,eng,1,0,0,0,0,0,0,0,0,0,0,{},10,4/20/13 20:45,0
porch monkey,{},{},A black person referring to perceived common behavior of groups hanging out on front porches or steps of urban apartment complexes in US cities.,eng,1,0,0,0,0,0,0,0,0.69,0,0,{},3899,5/15/17 0:45,0
powderburn,{},{},A black person.,eng,1,0,0,0,0,0,0,0,0,0,0,{},0,{},0
prairie nigger,{},{},A Native American.,eng,1,0,0,0,0,0,0,0,0.75,0,0,{},96,4/29/17 9:21,0
prod,{},{},"A Protestant, particularly a rival kid from a Protestant school. 'Proddywhoddy' and 'proddywoddy' are used in children's school rhymes in Cork",eng,0,0,1,0,0,0,0,0,0,0,3,proddy dog; proddywoddy; proddywhoddy,0,{},0
proddy dog,prod,{},"A Protestant, particularly a rival kid from a Protestant school. 'Proddywhoddy' and 'proddywoddy' are used in children's school rhymes in Cork",eng,0,0,1,0,0,0,0,0,0.32,0,0,{},38,5/10/17 15:26,0
proddywhoddy,prod,{},"A Protestant, particularly a rival kid from a Protestant school. 'Proddywhoddy' and 'proddywoddy' are used in children's school rhymes in Cork",eng,0,0,1,0,0,0,0,0,0.5,0,0,{},0,{},0
proddywoddy,prod,{},"A Protestant, particularly a rival kid from a Protestant school. 'Proddywhoddy' and 'proddywoddy' are used in children's school rhymes in Cork",eng,0,0,1,0,0,0,0,0,0,0,0,{},2,7/18/16 11:26,0
property,{},{},A black person.,eng,1,0,0,0,0,0,0,0,0,2,0,{},0,{},0
Punjab,{},{},A person of Indian descent.,eng,1,1,0,0,0,0,0,0,0,0,0,{},0,{},0
pussy,{},{},"[1] Pejorative word for female. [2] Pejorative word for male, meaning meek or cowardly.",eng,0,0,0,1,0,0,0,0,0.27,4,0,{},2,4/22/13 21:29,0
quadroon,{},{},"A person who is 1/4 Black. Coined during the Civil War, referring to how White you had to be in order to serve in the army.",eng,1,0,0,0,0,0,0,0,0,0,0,{},1695,5/13/17 23:59,0
quashie,{},{},"A black person. From the West African name Kwazi, often given to a child born on a Sunday.",eng,1,0,0,0,0,0,0,0,0,0,0,{},25,1/22/17 14:21,0
queen,{},{},A homosexual.,eng,0,0,0,0,1,0,0,0,0,0,0,{},0,{},0
queer,{},{},A homosexual.,eng,0,0,0,0,1,0,0,0,0.14,0,0,{},1004,5/10/17 1:08,0
race traitor,{},{},Term used by white supremacists to denote a person of mixed race.,eng,1,0,0,0,0,0,0,0,0,0,0,{},2615,5/15/17 14:49,0
raghead,{},{},"An Arab, Indian Sikh or other individual of Middle Eastern or South Asian descent wearing traditional headdress such as turbans or keffiyehs. Sometimes used generically for all Islamic nations.",eng,1,0,0,0,0,0,0,0,0.5,0,2,towel head; diaper head,5236,5/15/17 0:50,1
red bone,yellow bone,{},[1] A black female with light skin. [2] A black female of mixed heritage.,eng,1,0,0,0,0,0,0,0,0,1,0,{},1580,5/13/17 19:02,1
redlegs,{},{},Laborer-class whites in Barbados.,eng,1,0,0,0,0,0,0,0,0,0,0,{},111,4/23/17 13:53,0
redneck,{},{},Southern laborer-class whites.,eng,0,0,0,0,0,0,1,0,0,0,0,{},1033,5/16/17 2:46,0
redskin,{},{},A Native American.,eng,1,0,0,0,0,0,0,0,0.89,0,0,{},249,5/15/17 23:59,0
retard,{},{},"A disabled person, from 'retarded'.",eng,0,0,0,0,0,1,0,0,0.19,0,1,retarded,5280,5/16/17 4:29,0
retarded,retard,{},"A disabled person, from 'retarded'.",eng,0,0,0,0,0,1,0,0,0.21,2,0,{},5,10/14/13 10:58,0
Rhine monkey,{},{},A person of German descent.,eng,0,1,0,0,0,0,0,0,0.58,0,0,{},0,{},0
Rico Suave,{},{},"A person of Hispanic descent, from the singer of the same name.",eng,1,0,0,0,0,0,0,0,0,0,0,{},1200,5/16/17 1:16,0
roofucker,{},{},"Literally, kangaroo-fucker, an Australian iteration on 'sheepfucker'.",eng,1,1,0,0,0,0,0,0,0.93,0,0,{},20,5/15/17 22:28,0
roundeye,{},{},A white or non-Asian person.,eng,1,0,0,0,0,0,0,0,0.02,0,0,{},129,4/11/17 22:07,0
rube,{},{},A rural person.,eng,0,0,0,0,0,0,1,0,0,0,0,{},0,{},0
Russellite ,{},{},"A Jehovah's Witness, from American religious leader Charles Taze Russell.",eng,0,0,1,0,0,0,0,0,0,0,0,{},3,1/29/17 21:57,0
sambo,{},{},A black person.,eng,1,0,0,0,0,0,0,0,0,0,0,{},104,4/15/17 10:16,0
sawney,{},{},"A Scottish person, local variant of Sandy, short for 'Alasdair'.",eng,0,1,0,0,0,0,0,1,0,0,0,{},0,{},0
scag,{},{},A woman of loose morals,eng,0,0,0,1,0,0,1,0,0,2,1,skag,0,{},1
scallie,{},{},"A disreputable and/or working class person, from 'scallywag'",eng,0,0,0,0,0,0,1,0,0,1,1,scally,77,4/23/17 12:36,1
scally,scallie,{},"A disreputable and/or working class person, from 'scallywag'",eng,0,0,0,0,0,0,1,0,0,1,0,{},584,5/4/17 18:26,1
scanger,spide,{},"In Northern Ireland, a spide is a young working class male. A female is known as a millie.",eng,0,0,0,0,0,0,1,0,0,1,0,{},267,4/30/17 7:51,1
semihole,{},{},"A Native American, from the Seminole tribe.",eng,1,0,0,0,0,0,0,0,0,0,0,{},9,9/3/16 11:29,0
senga,{},{},"In Scotland, an unsophisticated or lower class female",eng,0,0,0,0,0,0,1,0,0,1,0,{},43,4/17/17 19:49,1
seppo,{},{},An American. (Cockney rhyming slang: Septic tank - Yank),eng,0,1,0,0,0,0,0,0,0,0,1,septic,0,{},0
septic,seppo,{},An American. (Cockney rhyming slang: Septic tank - Yank),eng,0,1,0,0,0,0,0,0,0,0,0,{},0,{},0
shade,{},{},"A black person, or one attempting to be perceived as black.",eng,1,0,0,0,0,0,0,0,0,0,0,{},0,{},0
shant,{},{},"A disenfranchised Irish peson, from 'shanty'.",eng,0,1,0,0,0,0,1,0,0,0,0,{},0,{},0
shanty Irish,{},{},A poor or disenfranchised person of Irish descent.,eng,1,1,0,0,0,0,0,0,0,0,0,{},188,4/28/17 21:19,0
sheeny,{},{},A 19th-century derogatory term for an 'untrustworthy Jew.',eng,1,0,0,0,0,0,0,1,1,0,0,{},0,{},0
sheepfucker,{},{},"A person of Scottish or Welsh descent, from an alleged predilection for having sex with sheep due to the scarcity of people in these regions.",eng,0,1,0,0,0,0,0,0,0.5,0,0,{},0,{},0
sheister,shyster,{},"A dishonest person, particularly of Jewish decent.",eng,1,0,0,0,0,0,0,0,0,1,0,{},1000,5/12/17 20:29,0
Shelta,{},{},An Irish Traveller.,eng,1,1,0,0,0,0,0,0,0,0,0,{},0,{},0
shine,{},{},"A black person, originating from their working at shoe shine stands on urban streets or in bus and train station terminals.",eng,1,0,0,0,0,0,0,1,0,0,1,shiner,0,{},0
shiner,shine,{},"A black person, originating from their working at shoe shine stands on urban streets or in bus and train station terminals.",eng,1,0,0,0,0,0,0,1,0,0,0,{},0,{},0
shit heel,{},{},A black servant.,eng,1,0,0,0,0,0,0,0,0,0,0,{},628,5/12/17 16:00,0
shit kicker,{},{},"A rural person, from farmers or country boys walking through manure-filled cow pastures.",eng,0,0,0,0,0,0,1,0,0,0,0,{},0,{},0
Shy,Shylock,{},"A Jewish person, originated in Merchant of Venice.",eng,1,0,0,0,0,0,0,0,0.48,1,0,{},0,{},0
Shylock,{},{},"A Jewish person, originated in Merchant of Venice.",eng,1,0,0,0,0,0,0,0,0.48,0,1,Shy,687,5/12/17 3:04,0
shyster,{},{},"A dishonest person, particularly of Jewish decent.",eng,1,0,0,0,0,0,0,0,0.72,2,1,sheister,4867,5/16/17 0:05,1
sideways cooter,sideways vagina,{},"An Asian woman, particularly of Chinese descent.",eng,1,1,0,0,0,0,0,0,0,0,0,{},1,7/31/15 20:16,0
sideways pussy,sideways vagina,{},"An Asian woman, particularly of Chinese descent.",eng,1,1,0,0,0,0,0,0,0.48,0,0,{},225,4/28/17 13:45,0
sideways vagina,{},{},"An Asian woman, particularly of Chinese descent.",eng,1,1,0,0,0,0,0,0,0.67,0,2,sideways pussy; sideways cooter,595,5/9/17 20:10,0
skag,scag,{},A woman of loose morals,eng,0,0,0,1,0,0,1,0,0,1,0,{},0,{},1
skanger,spide,{},"In Northern Ireland, a spide is a young working class male. A female is known as a millie.",eng,0,0,0,0,0,0,1,0,0,1,0,{},770,5/15/17 12:50,1
skinny,{},{},"A Somali, especially a militia fighter.",eng,0,1,0,0,0,0,0,0,0,0,0,{},0,{},0
Skip,{},{},"A white Australian, alluding to Skippy the Bush Kangaroo, a once-popular Australian television show for children.",eng,1,1,0,0,0,0,0,0,0,0,1,Skippy,0,{},0
Skippy,Skip,{},"A white Australian, alluding to Skippy the Bush Kangaroo, a once-popular Australian television show for children.",eng,1,1,0,0,0,0,0,0,0,0,0,{},0,{},0
slag,{},{},"In the UK, a promiscuous woman",eng,0,0,0,0,0,0,1,0,0.1,1,0,{},0,{},0
slant,{},{},"A person of Asian origin (Chinese, Japanese, Korean, Vietnamese etc.) Derived from the term for those who have epicanthic folds.",eng,1,0,0,0,0,0,0,0,0,0,1,slant eye,0,{},0
slant eye,slant,{},"A person of Asian origin (Chinese, Japanese, Korean, Vietnamese etc.) Derived from the term for those who have epicanthic folds.",eng,1,0,0,0,0,0,0,0,1,0,0,{},662,5/12/17 6:23,0
slit,{},{},A person of Asian descent.,eng,1,0,0,0,0,0,0,0,0,0,0,{},0,{},0
